Chromosome Arm	OVCA97	OVCA44	OVCA3	OVCA4	OVCA5	OVCA6	OVCA13	OVCA43	OVCA33	OVCA34	OVCA9	OVCA35	OVCA36	OVCA11	OVCA45	OVCA46	OVCA47	OVCA15	OVCA17	OVCA18	OVCA37	OVCA48	OVCA50	OVCA51	OVCA52	OVCA19	OVCA22	OVCA23	OVCA27	OVCA29	OVCA38	OVCA30	OVCA53	OVCA54	OVCA31	OVCA32	OVCA39	OVCA2	OVCA14	OVCA40	OVCA41	OVCA42	OVCA56	OVCA57	OVCA58	OVCA59	OVCA60	OVCA61	OVCA62	OVCA63	OVCA64	OVCA65	OVCA67	OVCA68	OVCA69	OVCA70	OVCA71	OVCA73	OVCA74	OVCA75	OVCA76	OVCA77	OVCA78	OVCA79	OVCA80	OVCA81	OVCA82	OVCA83	OVCA84	OVCA85	OVCA86	OVCA87	OVCA88	OVCA89	OVCA90	OVCA91	OVCA92	OVCA93	OVCA94	OVCA95	OVCA96	OVCA98	OVCA99	OVCA100	OVCA101	OVCA103	OVCA104	OVCA105	OVCA106	OVCA107	OVCA108	OVCA109	OVCA110	OVCA113	OVCA114	OVCA115	OVCA116	OVCA118	OVCA119	OVCA120	OVCA121	OVCA122	OVCA123	OVCA124	OVCA125	OVCA126	OVCA128	OVCA129	OVCA24	OVCA55	OVCA66	OVCA72	OVCA102	OVCA111	OVCA112	OVCA127	OVCA268
8q	0	0.666	0	1.701	0.677	0	0.938	0	1.283	0.415	1.619	0.272	0	0	0	1.688	0	0	0.384	0.325	0.61	0	0	0	0.625	0.472	1.994	0	0.434	0.274	0.535	0.759	2	0.776	0	0	0	0	0.576	1.455	0	0.743	0.684	3.657	0	0.282	1.234	0.484	0	0	0	0	0.31	0.351	1.131	0.633	0	0	0	3.657	0.527	0.702	0	0	0.525	0.478	0.868	0.62	1.566	0.865	0	0.572	0	0.343	0.704	0.527	0	0.686	0.754	1.236	0.877	0.792	0.878	0.784	0.479	1.532	2.414	0	0	0	2.763	0.445	0	0	0	0.852	0.621	0.946	1.559	0.447	0	0	0	2.201	0.896	0	0.632	0	0	0.885	0	0	0	0	0	0	0
9p	0	0	0	0	0	0	0	0	-0.374	0.009	0	-0.301	0	0	0	-0.376	0	0	-0.494	0	0	0	0	0	-0.33	0	0	0	0	0	0	0	-0.401	-0.767	-0.593	-0.362	0	-0.427	-0.137	-0.681	0	-0.449	0.762	0	-0.352	0	-0.507	0	0	0	0	0	0	-0.283	-0.387	-0.318	0	0	0	0	0.322	0	0	0	0.538	0	0	0	0.471	0	0	-0.325	0	0	0	0	0	0	-0.693	0	0	0	0.95	0	0	-0.288	-0.054	0	0	0	0	0	-0.569	0	0	0	0	0	0	0	-0.042	0	0	-0.395	0.454	-0.288	0	0	0	0	0	0	-0.321	0	0	-0.398	0
9q	0	-0.733	0	-0.868	0	0	0	0	-0.374	-0.49	0	-0.301	0	0	0	-0.376	0	0	-0.494	0	0	0	0	0	-0.33	-0.533	0	0	-0.334	0	0	0	-0.401	-0.767	-0.273	0.322	0	-0.427	-0.753	-0.681	0	-0.449	0	0	-0.352	0	-0.507	0	0	0	0	0	0	-0.283	-0.387	-0.318	0	0	-0.762	0	-0.139	0	0	0	0.538	0	0	0	0.052	0	0	-0.657	0	-0.603	0	0	0	0	-0.693	0	-0.805	0	0.113	0	0	-0.288	-0.53	0	0	0	0	0	-0.569	0	0	-0.904	0	0	0	0	-0.821	0	0	-0.395	-0.163	-0.288	0	0	0	0	0	0	-0.321	0	0	-0.398	0
10p	0	-0.75	0	0	0	0	0	0	0.154	0	0	0	0	-0.024	0	-0.562	0	0.373	0.463	0	0	0	0	0	0.697	0.506	0	0	0	0	0	0	-0.88	0	0.372	2.29	0	0	0	-0.274	0	0	0	0.74	0	0	-0.497	0	0	0	0	0	-0.163	0	0	0	0	0	0	0.454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	-0.661	0.931	0	0	0	0	0	0	0	0	0.418	0.311	-0.383	0	0	0	0	0	0.43	0.375	0	0	0	0	0	0	0	0	0	0	0	0
10q	0	0	0	0	0	0	0	0	0.516	0	0	0	0	0.826	0	0	0	0.373	0.463	0	0	0	0	0	0.697	0.506	0	0	0	0	0	0	-0.88	0	0	0	0	0	0	-0.274	0	0	0	0.74	0	0	-0.497	0	0	0	0	0	0.33	0	0	0	0	0	0	0.454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0.931	0	0	0	0	0	0	0	0	0.418	0	-0.383	0	-0.413	0	0	0	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0
11p	0	0	0	0	0.853	0	0	0	0	-0.501	0	0	0	0	0	-0.376	0	0	0	0	0	0	0	0	-0.316	0	0	0	-0.318	0	0	0	-0.329	0	-0.295	0.338	0	0	0	-0.665	0	0	0	0	-0.373	0	-0.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	-0.705	0	0	-0.597	0	0	0	0	0	0	0	0	-0.268	0	-0.838	0	0	-0.669	0	0	0	0	0	0	-0.295	0	0	0	0	0	0	0	0	0	0	0	-0.411	-0.786	0	0	0	0	-0.38	0	-0.321	0	0	0	0	0	0	0	0	0	0	0
11q	0	0	0	0	0.853	0	0	0	0	-0.501	0	0	0	0	0	-0.376	0	0	0	0	0	0	0	0	-0.316	0	0	0	-0.318	-0.291	0	0	-0.329	0	-0.295	0.338	0	0	0	-0.665	0	0	0	0	-0.373	0	-0.506	0	0	0	0	0	-0.343	0	0	0	0	0	0	0	-0.467	-0.705	0	0	-0.597	0	0	0	0	0	0	0	0	-0.268	0	-0.838	0	-0.413	-0.669	0	0	0	0	0	0	-0.295	0	0	0	0	0	0	-0.602	0	0	0	0	-0.411	-0.786	0	0	0	0	-0.38	0	-0.321	0	0	0	0	0	0	0	0	0	0	0
12p	0	0	0	0	0	0	0	0	0	-0.508	0	0	0	0	0	0	0.086	0	0.963	0.296	0	0	0	0	0	1.484	0	0	0.381	0	0	0	0.939	0	0.356	1.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372	0	0.426	0	0	0	0	0	-0.428	0.763	0	0	0.562	0	0	0	-0.697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478	0	0	0	0	0	0	0	0	0	0	-0.437	0	0	0.686	0	0	1.882	0.344	0.108	0	0	0	0	0	0	0	0	0	0	0
12q	0	0	0	0	0	0	0	0	0	-0.508	0	0	0	0	0	0	0.396	0	0.963	0.296	0	0	0	0	0	1.484	0	0	0.381	0	0	0	0.301	0	0.627	-0.674	0	0	0	0	0	0	0	0	0	0	-0.496	0	0	0	0	0	0.372	-0.293	0	0	0	0	0	0	0	0.763	0	0	0.562	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478	0	0	0	0	0	-0.615	0	0	0	0	0	0	0	0.686	0	0	-0.392	0.344	0.439	0	0	0	0	0	0	0	0	0	0	0
13q	0	0	0	-0.402	0	0	0	0	-0.801	0.549	0	0	0	-0.317	0	-0.371	0	-0.387	-0.536	0	0	0	0	0	0	-0.566	-0.765	0	-0.372	-0.272	0	1.613	-0.831	0	0	0	0	0	0	-0.348	0	0	0	0.331	-0.304	-0.3	-0.493	0	0	0	0	0	0	-0.269	0	0	0	0	0	0	-0.717	-0.708	0	0	0	0	0	-0.7	-0.679	0	0	-0.343	0	0	0	0	0	-0.407	0	-0.599	0	0	0	0	0	-0.282	-0.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.369	-0.634	0	-0.266	0	0	0	0	0	0	0	0	0	0
